Seller Name,Buyer Name,Overall Match Score,Sector Match,Offering Match,Customer Match,Geography Match,Size Match,Market Position Match,sector_match_keywords_score,sector_match_hierarchical_score,offering_match_keywords_score,offering_match_hierarchical_score,customer_match_keywords_score,customer_match_hierarchical_score,geography_match_keywords_score,geography_match_hierarchical_score,market_position_match_keywords_score,market_position_match_hierarchical_score,size_match_revenue_score,size_match_employee_count_score
atomus limited,activ surgical,69.0,42.4,9.9,6.3,2.3,4.7,3.4,1.4,1.8,1.3,0.3,1.4,0.4,1.4,0.0,1.3,0.0,0.4,0.4
atomus limited,adriel,72.0,44.4,10.4,6.4,2.3,4.7,3.7,1.5,1.8,1.4,0.3,1.5,0.4,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,aedifion,70.0,43.6,10.1,5.7,2.4,4.7,3.6,1.5,1.8,1.4,0.3,1.4,0.2,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,disco,72.4,44.7,10.6,6.4,2.3,4.7,3.7,1.5,1.8,1.4,0.5,1.4,0.4,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,evisort,72.1,44.3,10.4,6.7,2.3,4.7,3.7,1.5,1.8,1.4,0.3,1.5,0.5,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,agiloft,72.7,44.4,10.8,6.7,2.3,4.7,3.7,1.5,1.8,1.4,0.5,1.5,0.5,1.4,0.0,1.5,0.0,0.4,0.4
atomus limited,airemaster of america,56.7,29.9,9.8,6.5,2.3,4.7,3.5,1.4,0.6,1.4,0.2,1.3,0.6,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,ameribolt,54.2,27.7,9.7,6.3,2.3,4.7,3.4,1.4,0.4,1.3,0.3,1.4,0.4,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,amcap home loans,55.2,28.1,10.4,6.1,2.3,4.7,3.5,1.4,0.4,1.4,0.5,1.4,0.4,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,ashton thomas private wealth,56.1,28.3,10.8,6.5,2.3,4.7,3.6,1.4,0.4,1.4,0.6,1.4,0.5,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,asforededinovo,55.4,28.1,10.2,6.4,2.4,4.7,3.6,1.4,0.4,1.4,0.2,1.4,0.4,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,academic analytics,57.6,29.8,11.1,6.2,2.3,4.7,3.5,1.5,0.4,1.5,0.5,1.5,0.3,1.4,0.0,1.4,0.0,0.4,0.4
atomus limited,agent,70.6,43.5,10.1,6.4,2.4,4.7,3.5,1.5,1.8,1.3,0.4,1.5,0.3,1.4,0.0,1.4,0.0,0.4,0.4
